波浪参数敏感性扫描报告（参数标定阶段1）
==============================================================================
声明: 研究项目，禁止自动下单。信号不可用于真实交易。
生成时间: 2026-09-01 15:46:20
扫描网格: SWING_N [3, 5, 7] × SWING_ATR_MULT [0.5, 1.0, 1.5] × WAVE_WINDOW [10, 14, 20] = 27 组
品种: BITCOIN, XAUUSD, XAGUSD, WTI
采样: 起点=第600根日线, 每7根一次（周线只取已闭合K线, 每轮重置波浪缓存）

【指标口径】
  数浪稳定性: 滚动数浪 vs 事后数浪（全量周线compute, 近似金标准）
    - bias一致率: 滚动采样点中 bias 与事后金标准一致的比例（越大越稳）
    - bias切换次数: 相邻采样点 bias 翻转次数（越小越稳）
  信号质量（信号制: 每个LONG_OPEN独立跟踪, 不去重、不模拟真实持仓;
               口径与阶段0一致, 统一用收盘价判定）:
    - 可执行信号 = LONG_OPEN 且 position_rate>0 且止损有效(risk>0)
    - +1R/+2R概率: 信号后 N 个交易日内收盘价达到开仓价+1R/+2R止损距离
    - 破止损概率: 信号后 N 个交易日内出现连续2根收盘<止损价
    - 60日均R: 60日窗口内先触发止损=-1R/先触发2R止盈=+2R(止损优先),
               否则按第60日收盘结算 (close-open)/risk, 所有信号平均

【4品种平均汇总表】（概率列为有信号品种的平均, 信号数为4品种合计）
  参数组         bias一致%  bias切换  label一致%  信号数  +1R30  +2R30  破SL30  +1R60  +2R60  破SL60  +1R90  +2R90  破SL90  60日均R
  N7 M1.0 W14     54.3       6      64.4      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N7 M1.0 W20     54.3       6      64.4      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N7 M0.5 W10     54.3       6      64.4      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N7 M0.5 W14     54.3       6      64.4      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N7 M0.5 W20     54.3       6      64.4      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N7 M1.5 W10     49.5      10      61.5      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N7 M1.5 W14     49.5      10      61.5      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N7 M1.5 W20     49.5      10      61.5      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N5 M1.0 W10     38.9       9      63.5      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N5 M1.0 W14     38.9       9      63.5      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N5 M1.0 W20     38.9       9      63.5      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N5 M0.5 W10     38.9       9      63.5      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N5 M0.5 W14     38.9       9      63.5      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N5 M0.5 W20     38.9       9      63.5      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N5 M1.5 W10     42.3      11      62.0      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N5 M1.5 W14     42.3      11      62.0      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N5 M1.5 W20     42.3      11      62.0      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N3 M1.0 W10     49.5      17      57.2      2    50.0   50.0    0.0  100.0   50.0    0.0  100.0  100.0    0.0   +1.474
  N3 M1.0 W14     49.5      17      57.2      2    50.0   50.0    0.0  100.0   50.0    0.0  100.0  100.0    0.0   +1.474
  N3 M1.0 W20     49.5      17      57.2      2    50.0   50.0    0.0  100.0   50.0    0.0  100.0  100.0    0.0   +1.474
  N3 M0.5 W10     47.6      13      53.8      2    50.0   50.0    0.0  100.0   50.0    0.0  100.0  100.0    0.0   +1.474
  N3 M0.5 W14     47.6      13      53.8      2    50.0   50.0    0.0  100.0   50.0    0.0  100.0  100.0    0.0   +1.474
  N3 M0.5 W20     47.6      13      53.8      2    50.0   50.0    0.0  100.0   50.0    0.0  100.0  100.0    0.0   +1.474
  N3 M1.5 W10     51.4      13      69.7      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N3 M1.5 W14     51.4      13      69.7      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400
  N3 M1.5 W20     51.4      13      69.7      5    60.0   60.0    0.0   80.0   60.0    0.0   80.0   80.0    0.0   +1.400

==============================================================================
【推荐参数组合】
筛选规则: ① 4品种合计信号数 >= 10（样本量下限） ② bias一致率(4品种平均)最高优先（数浪稳定性是阶段0最大短板） ③ 次之 +2R@60 / 60日均R（信号质量）

Top10 候选（按 bias一致率降序, 已过滤信号数<10）:
  排名  参数组         bias一致%  信号数  +2R@60%  60日均R
   1    N7 M1.0 W10     58.6     28     29.3    +0.550
   2    N7 M1.0 W14     58.6     28     29.3    +0.550
   3    N7 M1.0 W20     58.6     28     29.3    +0.550
   4    N7 M0.5 W10     58.4     28     25.1    +0.510
   5    N7 M0.5 W14     58.4     28     25.1    +0.510
   6    N7 M0.5 W20     58.4     28     25.1    +0.510
   7    N7 M1.5 W10     56.5     28     29.3    +0.550
   8    N7 M1.5 W14     56.5     28     29.3    +0.550
   9    N7 M1.5 W20     56.5     28     29.3    +0.550
  10    N5 M1.0 W10     55.9     26     41.7    +0.950

推荐: N7 M1.0 W10
  bias一致率(4品种平均): 58.6%  (bias切换平均 8.0 次)
  信号数(4品种合计): 28
  信号质量: +1R@60 46.8% | +2R@60 29.3% | 破止损@60 17.9% | 60日均R +0.550

默认组对比（阶段0参数 N5 M1.0 W14）:
  bias一致率: 默认 55.9% -> 推荐 58.6%  (提升 +2.8 个百分点)
  信号数: 默认 26 -> 推荐 28
  +2R@60: 默认 41.7% -> 推荐 29.3%
  60日均R: 默认 +0.950 -> 推荐 +0.550

